"Olympics","Rank","Country","Name","Time"
2002,1,NOR,Kjetil Andre AAMODT,00:01:21.580
2002,2,AUT,Stephan EBERHARTER,00:01:21.680
2002,3,AUT,Andreas SCHIFFERER,00:01:21.830
2002,4,AUT,Fritz STROBL,00:01:21.920
2002,5,NOR,Bjarne SOLBAKKEN,00:01:22.100
2002,6,SUI,Didier DEFAGO,00:01:22.270
2002,7,AUT,Christoph GRUBER,00:01:22.350
2002,8,USA,Daron RAHLVES,00:01:22.480
2002,9,USA,Thomas VONN,00:01:23.220
2002,10,SUI,Paul ACCOLA,00:01:23.330
2002,11,SWE,Patrik JAERBYN,00:01:23.400
2002,12,SUI,Tobias GRUENENFELDER,00:01:23.430
2002,13,SLO,Gregor SPAROVEC,00:01:23.520
2002,13,LIE,Marco BUECHEL,00:01:23.520
2002,15,SLO,Jernej KOBLAR,00:01:23.820
2002,15,FRA,Sebastien FOURNIER,00:01:23.820
2002,17,ITA,Roland FISCHNALLER,00:01:23.870
2002,18,ITA,Patrick STAUDACHER,00:01:23.950
2002,19,NOR,Kenneth SIVERTSEN,00:01:24.160
2002,20,FRA,Christophe SAIONI,00:01:24.280
2002,21,SLO,Andrej JERMAN,00:01:24.350
2002,22,GER,Max RAUFFER,00:01:24.540
2002,23,RUS,Pavel CHESTAKOV,00:01:25.160
2002,24,CZE,Petr ZAHROBSKY,00:01:25.670
2002,25,USA,Scott MACARTNEY,00:01:25.800
2002,26,ITA,Kurt SULZENBACHER,00:01:26.440
2002,27,AUS,Craig BRANCH,00:01:27.150
2002,28,SVK,Ivan HEIMSCHILD,00:01:27.740
2002,29,UKR,Nikolay SKRIABIN,00:01:27.840
2002,30,ARG,Nicolas ARSEL,00:01:28.550
2002,31,CHI,Duncan GROB,00:01:30.350
2002,32,ARG,Agustin GARCIA JURJO,00:01:30.590
2002,33,IRL,Paul Patrick SCHWARZACHER-JOYCE,00:01:31.300
2002,34,HUN,Peter VINCZE,00:01:50.400
2026,1,SUI,von ALLMEN Franjo,00:01:25.32
2026,2,USA,COCHRAN-SIEGLE Ryan,00:01:25.45
2026,3,SUI,ODERMATT Marco,00:01:25.60
2026,4,FRA,ALLEGRE Nils,00:01:25.63
2026,5,AUT,HAASER Raphael,00:01:25.89
2026,6,ITA,FRANZONI Giovanni,00:01:25.95
2026,7,AUT,KRIECHMAYR Vincent,00:01:26.10
2026,8,NOR,MOELLER Fredrik,00:01:26.12
2026,9,SUI,ROGENTIN Stefan,00:01:26.14
2026,10,SUI,MONNEY Alexis,00:01:26.22
2026,11,ITA,INNERHOFER Christof,00:01:26.50
2026,12,NOR,SEJERSTED Adrian Smiseth,00:01:26.51
2026,13,SLO,HROBAT Miha,00:01:26.53
2026,14,AUT,SCHWARZ Marco,00:01:26.68
2026,15,FRA,ELEZI CANNAFERINA Alban,00:01:26.77
2026,16,CAN,CRAWFORD James,00:01:26.85
2026,17,GER,JOCHER Simon,00:01:26.87
2026,17,CAN,ALEXANDER Cameron,00:01:26.87
2026,17,CZE,ZABYSTRAN Jan,00:01:26.87
2026,20,SLO,CATER Martin,00:01:26.99
2026,21,AUT,BABINSKY Stefan,00:01:27.04
2026,22,CAN,SEGER Brodie,00:01:27.08
2026,23,USA,MORSE Sam,00:01:27.12
2026,24,ITA,CASSE Mattia,00:01:27.41
2026,25,FIN,LEHTO Elian,00:01:27.85
2026,26,USA,NEGOMIR Kyle,00:01:28.62
2026,27,NOR,SELLAEG Simen,00:01:28.63
2026,28,ARG,GRAVIER Tiziano,00:01:29.06
2026,29,GER,GRAMMEL Anton,00:01:29.39
2026,30,MON,ALESSANDRIA Arnaud,00:01:30.13
2026,31,LTU,DRUKAROV Andrej,00:01:30.34
2026,32,POR,GUERILLOT Emeric,00:01:31.43
2026,33,ISR,SZOLLOS Barnabas,00:01:31.64
2026,34,ALB,XHEPA Denni,00:01:31.72
2026,35,LAT,OPMANIS Elvis,00:01:32.05
2026,36,UKR,SHEPIUK Dmytro,00:01:33.16
2026,37,IRL,COMERFORD Cormac,00:01:34.58
